,experiment_num,selected_features,pnum
92,6,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",14.0
93,6,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",19.0
94,6,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",20.0
95,6,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",21.0
96,6,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_temperature_max', '(S)_env_humidity_max', '(S)_env_co2_max']",22.0
97,6,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_humidity_max', '(S)_env_co2_max']",23.0
98,7,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",1.0
99,7,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",2.0
100,7,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",3.0
101,7,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",7.0
102,7,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",9.0
103,7,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",10.0
104,7,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",12.0
105,7,"['(S)_env_temperature_std', '(S)_env_humidity_std']",13.0
106,7,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",14.0
107,7,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",19.0
108,7,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",20.0
109,7,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",21.0
110,7,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_temperature_max', '(S)_env_humidity_max', '(S)_env_co2_max']",22.0
111,7,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_humidity_max', '(S)_env_co2_max']",23.0
112,8,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",1.0
113,8,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",2.0
114,8,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",3.0
115,8,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",7.0
116,8,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",9.0
117,8,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",10.0
118,8,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",12.0
119,8,"['(S)_env_temperature_std', '(S)_env_humidity_std']",13.0
120,8,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",14.0
121,8,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",19.0
122,8,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",20.0
123,8,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",21.0
