,experiment_num,selected_features,pnum
28,2,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",1.0
29,2,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",2.0
30,2,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",3.0
31,2,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",7.0
32,2,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",9.0
33,2,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",10.0
34,2,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",12.0
35,2,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",13.0
36,2,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",14.0
37,2,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",19.0
